Restaurant Name,Location,Review,Cuisine,Longitude,Latitude
Rajska Vrata,"Olimpijska 41 Olimpijska 41 Jahorina, Jahorina 71423 Bosnia and Herzegovina",4.5 ,"Barbecue, European, Eastern European",18.5635638,43.7385239
Ski Caffe Peggy,"Jahorina bb, Jahorina 71423 Bosnia and Herzegovina",4.0 ,NONE,18.5635638,43.7385239
Koliba,"Poljice bb, Jahorina 71423 Bosnia and Herzegovina",4.0 ,"Eastern European, European",18.5635638,43.7385239
Le Select,"Milosa Crnjanoskog, Jahorina 71423 Bosnia and Herzegovina",4.5 ,"Seafood, International",18.5635638,43.7385239
Olimpijski Bar,"Olimpijska 44, Jahorina 71423 Bosnia and Herzegovina",4.5 ,NONE,18.5635638,43.7385239
Caffe Restaurant Baza Jahorina,"Olimpijska 12, Jahorina 71423 Bosnia and Herzegovina",4.5 ,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",18.5635638,43.7385239
Caffe Restaurant Peggy,"Obucaina Bare 92, Jahorina 71423 Bosnia and Herzegovina",4.5 ,NONE,18.5635638,43.7385239
Dvosjed Jahorina,"Olimpijska Bb, Jahorina 71423 Bosnia and Herzegovina",4.5 ,NONE,18.5635638,43.7385239
Baza Jahorina - Caffe Restoran,"Olimpijska 12, Jahorina 71423 Bosnia and Herzegovina",5.0 ,"Breakfast, Lunch, Dinner",18.5635638,43.7385239
Vrelo Miljacke,"Vrelo Miljacke 49, Pale 71420 Bosnia and Herzegovina",3.5 ,NONE,18.5722214,43.7898326
Restoran Gondola,"Jahorinski potok bb, Pale 71420 Bosnia and Herzegovina",5.0 ,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",18.60573699617506,43.78520531583066
Al Parco Ristorante,"Zmaj Jovina 17, Lukavica Bosnia and Herzegovina",4.5 ,NONE,18.3620341,43.8215598
Domino cafe-restoran,"Alekse Santica, Pale 71420 Bosnia and Herzegovina",5.0 ,NONE,18.5724118,43.8120693
Cajdzinica Dzirlo-Tea House,"Street Kovaci Cilcma 6, Sarajevo 71102 Bosnia and Herzegovina",5.0 ,"Late Night, Drinks",18.4325262,43.8606666
Cevabdzinica Nune,"Ferhadija 12, Sarajevo 71000 Bosnia and Herzegovina",5.0 ,"Barbecue, Eastern European, Bar, European",18.4233359,43.8584429
Franz & Sophie World of Tea,"Petrakijina 6, Sarajevo 71000 Bosnia and Herzegovina",5.0 ,"Takeout, Reservations, Seating, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service",18.4241918,43.8604286
Falafel Restaurant,"Đulagina Čikma 2 Bascarsija, Old Town, Sarajevo 71000 Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",18.4297416,43.85955060000001
Klopa,"Trg fra Grge Martica 4, Sarajevo 71000 Bosnia and Herzegovina",4.5 ,NONE,18.4252068,43.8591361
Dveri,"Prote Bakovica 12, Sarajevo 71000 Bosnia and Herzegovina",4.5 ,"European, Eastern European, International",18.4304096,43.8596137
Tavola,"Marsala Tita 50, Sarajevo 71000 Bosnia and Herzegovina",4.5 ,"Italian, Mediterranean, European, Central European",18.4199437,43.8587373
Cakum Pakum,"Kaptol 10, Sarajevo 71000 Bosnia and Herzegovina",5.0 ,NONE,18.4219855,43.85965729999999
Zara iz duvara . The Singing Nettle,"Petrakijina 1, BA, Sarajevo 71000 Bosnia and Herzegovina",4.5 ,"Eastern European, Healthy, Medicinal foods",18.424541,43.8603278
Buregdzinica Sac,"Mali Bravadziluk 2, Sarajevo 71000 Bosnia and Herzegovina",4.5 ,Eastern European,18.4305166,43.8599131
To Be Or Not To Be,"Čizmedžiluk 5, Baščaršija, Baščaršija, Sarajevo 71000 Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options, Gluten Free Options",18.4296098,43.8590294
Buregdzinica Bosna,"Bravadziluk Old Town, Sarajevo Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Halal",18.4317085,43.8589979
Rahatlook,"Ferhadija 41, Sarajevo 71000 Bosnia and Herzegovina",5.0 ,Vegetarian Friendly,18.4278462,43.859552
Karuzo,"Dzenetica Cikma BB, Sarajevo 71000 Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options, Gluten Free Options",18.4234808,43.8598928
Petica Cevabzinica,"Bravadžiluk 21, Sarajevo 71000 Bosnia and Herzegovina",4.5 ,Halal,18.4322125,43.8590143
Mala Kuhinja,"Tina Ujevica 13 Tin Ujevic Br 13, Sarajevo 71000 Bosnia and Herzegovina",4.5 ,"European, Asian, Fusion",18.4179168,43.8610456
Cevabdzinica Zeljo,"Kundurdžiluk, Sarajevo Bosnia and Herzegovina",4.5 ,"Fast Food, Barbecue, Eastern European",18.4294833,43.8585532
Kruna,"Kralja Petra I 13, Visegrad 73240 Bosnia and Herzegovina",4.5 ,"Dinner, Breakfast, Lunch",19.2934518,43.78344990000001
Visegradska Kafana Anika,"Ive Andrica 36, Visegrad 73240 Bosnia and Herzegovina",4.0 ,Vegetarian Friendly,19.2907798,43.7863542
